,Channel_Name,Channel_URL,Ingame_ID,opgg_url
0,캬일,https://www.youtube.com/channel/UCFBJr2sMBTZRmtvBh5tmX3A,캬일,https://op.gg/summoner/userName=캬일
1,세체우,https://www.youtube.com/channel/UCas5Hf4XuQ3whnwaf9YsJYw,세체우,https://op.gg/summoner/userName=세체우
2,세체우,https://www.youtube.com/channel/UCas5Hf4XuQ3whnwaf9YsJYw,Youtube귀배,https://op.gg/summoner/userName=Youtube귀배
3,세체우,https://www.youtube.com/channel/UCas5Hf4XuQ3whnwaf9YsJYw,우디르 정점,https://op.gg/summoner/userName=우디르 정점
4,세체우,https://www.youtube.com/channel/UCas5Hf4XuQ3whnwaf9YsJYw,괴물 우디르,https://op.gg/summoner/userName=괴물 우디르
5,현솔,https://www.youtube.com/channel/UCEWkdaR_6g6giiy8_vI6fmw,Sol로랭크,https://op.gg/summoner/userName=Sol로랭크
6,현솔,https://www.youtube.com/channel/UCEWkdaR_6g6giiy8_vI6fmw,오른은스킨1개,https://op.gg/summoner/userName=오른은스킨1개
7,현솔,https://www.youtube.com/channel/UCEWkdaR_6g6giiy8_vI6fmw,현 솔,https://op.gg/summoner/userName=현 솔
8,항심,https://www.youtube.com/user/yang2100y,티나리,https://op.gg/summoner/userName=티나리
9,항심,https://www.youtube.com/user/yang2100y,티신,https://op.gg/summoner/userName=티신
10,금똥왁왁,https://www.youtube.com/user/arthur12201,더기와기,https://op.gg/summoner/userName=더기와기
11,금똥왁왁,https://www.youtube.com/user/arthur12201,신부와기,https://op.gg/summoner/userName=신부와기
12,금똥왁왁,https://www.youtube.com/user/arthur12201,레넥톤장인,https://op.gg/summoner/userName=레넥톤장인
13,쓰리컨드,https://www.youtube.com/channel/UCHysRIIDpEywTmWl44ZV5Dw,sharkpredator,https://op.gg/summoner/userName=sharkpredator
14,쓰리컨드,https://www.youtube.com/channel/UCHysRIIDpEywTmWl44ZV5Dw,쓰리컨드,https://op.gg/summoner/userName=쓰리컨드
15,쓰리컨드,https://www.youtube.com/channel/UCHysRIIDpEywTmWl44ZV5Dw,zhendiao,https://op.gg/summoner/userName=zhendiao
16,쓰리컨드,https://www.youtube.com/channel/UCHysRIIDpEywTmWl44ZV5Dw,lliiiilliilll,https://op.gg/summoner/userName=lliiiilliilll
17,코태,https://www.youtube.com/channel/UCJFkH0p-M4_WEaHvLqWnkIg,코태는,https://op.gg/summoner/userName=코태는
18,코태,https://www.youtube.com/channel/UCJFkH0p-M4_WEaHvLqWnkIg,있어줘요장덕철,https://op.gg/summoner/userName=있어줘요장덕철
19,코태,https://www.youtube.com/channel/UCJFkH0p-M4_WEaHvLqWnkIg,코 태,https://op.gg/summoner/userName=코 태
20,신지드장인 넙적이,https://www.youtube.com/channel/UCmTjMP2tpOFoFIuKzb4uEhw,저항군신지드,https://op.gg/summoner/userName=저항군신지드
21,신지드장인 넙적이,https://www.youtube.com/channel/UCmTjMP2tpOFoFIuKzb4uEhw,신지드장인,https://op.gg/summoner/userName=신지드장인
22,Uehara Ahri,https://www.youtube.com/channel/UC0EWVkB5mmeJ8z61rJWQTPg,고졸21세히키백수,https://op.gg/summoner/userName=고졸21세히키백수
23,남부정 Nam Bu Jeong,https://www.youtube.com/user/nws960,IlIlIllIIlIIlIIl,https://op.gg/summoner/userName=IlIlIllIIlIIlIIl
24,남부정 Nam Bu Jeong,https://www.youtube.com/user/nws960,탑갱오지말고봇가,https://op.gg/summoner/userName=탑갱오지말고봇가
25,제로거TV,https://www.youtube.com/user/MrKimyoungbum,포효하는말파이트,https://op.gg/summoner/userName=포효하는말파이트
26,제로거TV,https://www.youtube.com/user/MrKimyoungbum,제로거,https://op.gg/summoner/userName=제로거
27,제로거TV,https://www.youtube.com/user/MrKimyoungbum,ZEROGER,https://op.gg/summoner/userName=ZEROGER
28,프제짱,https://www.youtube.com/channel/UChD2kf1XO2sxR4t4s_oPPMA,95060758del,https://op.gg/summoner/userName=95060758del
29,프제짱,https://www.youtube.com/channel/UChD2kf1XO2sxR4t4s_oPPMA,은가뉴,https://op.gg/summoner/userName=은가뉴
30,프제짱,https://www.youtube.com/channel/UChD2kf1XO2sxR4t4s_oPPMA,레녹스루이스,https://op.gg/summoner/userName=레녹스루이스
31,프제짱,https://www.youtube.com/channel/UChD2kf1XO2sxR4t4s_oPPMA,Pz ZZang,https://op.gg/summoner/userName=Pz ZZang
32,프제짱,https://www.youtube.com/channel/UChD2kf1XO2sxR4t4s_oPPMA,yasuo2,https://op.gg/summoner/userName=yasuo2
33,레드판다,https://www.youtube.com/channel/UCWohcqhH_cL65SalDGPw35Q,불타는곰인형,https://op.gg/summoner/userName=불타는곰인형
34,웅플,https://www.youtube.com/user/Woongplayer,talmoMakerzzz,https://op.gg/summoner/userName=talmoMakerzzz
35,TV헤이스트,https://www.youtube.com/channel/UCaiyyjmlyH70au7pzKE4jnQ,Youtube 헤이스트,https://op.gg/summoner/userName=Youtube 헤이스트
36,TV헤이스트,https://www.youtube.com/channel/UCaiyyjmlyH70au7pzKE4jnQ,1처형 900골드,https://op.gg/summoner/userName=1처형 900골드
37,TV헤이스트,https://www.youtube.com/channel/UCaiyyjmlyH70au7pzKE4jnQ,수고했다헤이스트,https://op.gg/summoner/userName=수고했다헤이스트
38,WYE TV,https://www.youtube.com/channel/UCWCZ-H_b17blcf42qnVhNiQ,화령란,https://op.gg/summoner/userName=화령란
39,WYE TV,https://www.youtube.com/channel/UCWCZ-H_b17blcf42qnVhNiQ,꺼지지 않는 불꽃,https://op.gg/summoner/userName=꺼지지 않는 불꽃
40,WYE TV,https://www.youtube.com/channel/UCWCZ-H_b17blcf42qnVhNiQ,MEDURI,https://op.gg/summoner/userName=MEDURI
41,김재혁TV [트린다미어 장인랭킹 1등],https://www.youtube.com/channel/UCu-taZbnIJlDTkTY_nhqjEg,유튜브 김재혁,https://op.gg/summoner/userName=유튜브 김재혁
42,김재혁TV [트린다미어 장인랭킹 1등],https://www.youtube.com/channel/UCu-taZbnIJlDTkTY_nhqjEg,트린다미혁,https://op.gg/summoner/userName=트린다미혁
43,클라스 TV,https://www.youtube.com/channel/UCM3JwqwvLHBsJXz4MjMfYBg,Douglas Killer,https://op.gg/summoner/userName=Douglas Killer
44,진그리롤,https://www.youtube.com/channel/UCWrRHCMPT1QekfTObvF-ogQ,쉬바나장인,https://op.gg/summoner/userName=쉬바나장인
45,진그리롤,https://www.youtube.com/channel/UCWrRHCMPT1QekfTObvF-ogQ,유튜브진그리롤,https://op.gg/summoner/userName=유튜브진그리롤
46,율천고최현우,https://www.youtube.com/channel/UCDvxB8XY9DOwYz1AI7B1PUA,ZED99,https://op.gg/summoner/userName=ZED99
47,율천고최현우,https://www.youtube.com/channel/UCDvxB8XY9DOwYz1AI7B1PUA,율천고 최현우,https://op.gg/summoner/userName=율천고 최현우
48,위즐링,https://www.youtube.com/channel/UCxwqnpN1G_roAm3t0vhfeZg,룬 마법사 주호민,https://op.gg/summoner/userName=룬 마법사 주호민
49,맛나는꼬꼬,https://www.youtube.com/channel/UCSTuWSKBNOqLHr7JsJ7smLw,아칼리 장인,https://op.gg/summoner/userName=아칼리 장인
50,맛나는꼬꼬,https://www.youtube.com/channel/UCSTuWSKBNOqLHr7JsJ7smLw,물개는 삐약삐약,https://op.gg/summoner/userName=물개는 삐약삐약
51,맛나는꼬꼬,https://www.youtube.com/channel/UCSTuWSKBNOqLHr7JsJ7smLw,빙제유기수,https://op.gg/summoner/userName=빙제유기수
52,샤코장인 코시,https://www.youtube.com/channel/UCC3h9Z5k5rNbCm9p27RV_Gg,장난을잘치는샤코,https://op.gg/summoner/userName=장난을잘치는샤코
53,샤코장인 코시,https://www.youtube.com/channel/UCC3h9Z5k5rNbCm9p27RV_Gg,티아멧 돌려줘,https://op.gg/summoner/userName=티아멧 돌려줘
54,필이TV,https://www.youtube.com/channel/UCDbDTqmevmeyymjXZZSgzKA,피오라맨,https://op.gg/summoner/userName=피오라맨
55,필이TV,https://www.youtube.com/channel/UCDbDTqmevmeyymjXZZSgzKA,llililiiiliIiI,https://op.gg/summoner/userName=llililiiiliIiI
56,필이TV,https://www.youtube.com/channel/UCDbDTqmevmeyymjXZZSgzKA,피오람,https://op.gg/summoner/userName=피오람
57,콘플,https://www.youtube.com/channel/UCfgtVvq7AmmyFoA8yDCBejg,천재적인 노력파,https://op.gg/summoner/userName=천재적인 노력파
58,콘플,https://www.youtube.com/channel/UCfgtVvq7AmmyFoA8yDCBejg,콘 플,https://op.gg/summoner/userName=콘 플
59,콘플,https://www.youtube.com/channel/UCfgtVvq7AmmyFoA8yDCBejg,콘치즈 좋아해,https://op.gg/summoner/userName=콘치즈 좋아해
60,대게Youtube,https://www.youtube.com/channel/UCgCffTU0ESGfxzmSH2kh2Rg,대 게,https://op.gg/summoner/userName=대 게
61,테디스틱Tv,https://www.youtube.com/channel/UCPtL_aSF4NT_pjCHfsmGBDA,맥콜 민초 솔의눈,https://op.gg/summoner/userName=맥콜 민초 솔의눈
62,테디스틱Tv,https://www.youtube.com/channel/UCPtL_aSF4NT_pjCHfsmGBDA,옘 뱅,https://op.gg/summoner/userName=옘 뱅
63,테디스틱Tv,https://www.youtube.com/channel/UCPtL_aSF4NT_pjCHfsmGBDA,진순 민초 부먹,https://op.gg/summoner/userName=진순 민초 부먹
64,김데데,https://www.youtube.com/channel/UC-9v2ASxz8f313YpiMF55eg,마라탕과민트초코,https://op.gg/summoner/userName=마라탕과민트초코
65,김데데,https://www.youtube.com/channel/UC-9v2ASxz8f313YpiMF55eg,햇님처럼빨간두볼,https://op.gg/summoner/userName=햇님처럼빨간두볼
66,김데데,https://www.youtube.com/channel/UC-9v2ASxz8f313YpiMF55eg,바늘도둑이성낸다,https://op.gg/summoner/userName=바늘도둑이성낸다
67,Evans TV,https://www.youtube.com/channel/UCLG6KU0xmZaZEj8jByz1hCQ,에반스빤쓔,https://op.gg/summoner/userName=에반스빤쓔
68,정글선생 진영준,https://www.youtube.com/channel/UCM81CAJ2_Y42-bvK1OQnAAA,자기야 불 끈다,https://op.gg/summoner/userName=자기야 불 끈다
69,정글선생 진영준,https://www.youtube.com/channel/UCM81CAJ2_Y42-bvK1OQnAAA,진영준,https://op.gg/summoner/userName=진영준
70,정글선생 진영준,https://www.youtube.com/channel/UCM81CAJ2_Y42-bvK1OQnAAA,심해탐사진영준,https://op.gg/summoner/userName=심해탐사진영준
71,캐인유튜브,https://www.youtube.com/channel/UC-8S20Ll1gzPiu_YY8BgyaQ,렝가는 캐인주의,https://op.gg/summoner/userName=렝가는 캐인주의
72,캐인유튜브,https://www.youtube.com/channel/UC-8S20Ll1gzPiu_YY8BgyaQ,zodls,https://op.gg/summoner/userName=zodls
73,캐인유튜브,https://www.youtube.com/channel/UC-8S20Ll1gzPiu_YY8BgyaQ,캐 인,https://op.gg/summoner/userName=캐 인
74,금명상,https://www.youtube.com/channel/UCt_f5vD1PTO1vLiI0tltIvg,금명상,https://op.gg/summoner/userName=금명상
75,고뇌 유튜브[Gotube],https://www.youtube.com/channel/UCfiarPVYi8ei4vZntToFYGg,롤은끝까지,https://op.gg/summoner/userName=롤은끝까지
76,고뇌 유튜브[Gotube],https://www.youtube.com/channel/UCfiarPVYi8ei4vZntToFYGg,고튜브보고올렸다,https://op.gg/summoner/userName=고튜브보고올렸다
77,고뇌 유튜브[Gotube],https://www.youtube.com/channel/UCfiarPVYi8ei4vZntToFYGg,고 뇌,https://op.gg/summoner/userName=고 뇌
78,고뇌 유튜브[Gotube],https://www.youtube.com/channel/UCfiarPVYi8ei4vZntToFYGg,고튜브,https://op.gg/summoner/userName=고튜브
79,파고 Phago,https://www.youtube.com/channel/UCGu7rquhKT_eULBD-dh0RQg,i am Phago,https://op.gg/summoner/userName=i am Phago
80,파고 Phago,https://www.youtube.com/channel/UCGu7rquhKT_eULBD-dh0RQg,양학고수,https://op.gg/summoner/userName=양학고수
81,파고 Phago,https://www.youtube.com/channel/UCGu7rquhKT_eULBD-dh0RQg,Youtube 파고,https://op.gg/summoner/userName=Youtube 파고
82,익산누누,https://www.youtube.com/channel/UCHCp9kW_lwH11XHBmr-mkxA,익산누누,https://op.gg/summoner/userName=익산누누
83,익산누누,https://www.youtube.com/channel/UCHCp9kW_lwH11XHBmr-mkxA,nunu2000,https://op.gg/summoner/userName=nunu2000
84,워윅의황제,https://www.youtube.com/channel/UCQ4YA6PJu_I76Q_UAdDgCTg,SKT T1 WARID,https://op.gg/summoner/userName=SKT T1 WARID
85,워윅의황제,https://www.youtube.com/channel/UCQ4YA6PJu_I76Q_UAdDgCTg,봉황열반,https://op.gg/summoner/userName=봉황열반
86,워윅의황제,https://www.youtube.com/channel/UCQ4YA6PJu_I76Q_UAdDgCTg,WICK99,https://op.gg/summoner/userName=WICK99
87,워윅의황제,https://www.youtube.com/channel/UCQ4YA6PJu_I76Q_UAdDgCTg,STEAK WARWICK,https://op.gg/summoner/userName=STEAK WARWICK
88,포베,https://www.youtube.com/channel/UCY4uIMjyliGg0Y6uSSBAQYg,야빡치냐,https://op.gg/summoner/userName=야빡치냐
89,포베,https://www.youtube.com/channel/UCY4uIMjyliGg0Y6uSSBAQYg,일란성쌍둥이,https://op.gg/summoner/userName=일란성쌍둥이
90,포베,https://www.youtube.com/channel/UCY4uIMjyliGg0Y6uSSBAQYg,야꼴받냐,https://op.gg/summoner/userName=야꼴받냐
91,코크유튜브,https://www.youtube.com/channel/UCPoWn58htiBko96Ploh_r9Q,내 배에서 정모중,https://op.gg/summoner/userName=내 배에서 정모중
92,코크유튜브,https://www.youtube.com/channel/UCPoWn58htiBko96Ploh_r9Q,S급라인전유저,https://op.gg/summoner/userName=S급라인전유저
93,시간의 숲,https://www.youtube.com/channel/UCyfg0TBg4jwIqnX3uNADnhg,시간의 숲,https://op.gg/summoner/userName=시간의 숲
94,시간의 숲,https://www.youtube.com/channel/UCyfg0TBg4jwIqnX3uNADnhg,lIllllIlIlIllIl,https://op.gg/summoner/userName=lIllllIlIlIllIl
95,시간의 숲,https://www.youtube.com/channel/UCyfg0TBg4jwIqnX3uNADnhg,눈사람은 추워 XD,https://op.gg/summoner/userName=눈사람은 추워 XD
96,시간의 숲,https://www.youtube.com/channel/UCyfg0TBg4jwIqnX3uNADnhg,삡 스,https://op.gg/summoner/userName=삡 스
97,시간의 숲,https://www.youtube.com/channel/UCyfg0TBg4jwIqnX3uNADnhg,눈사람 정승환,https://op.gg/summoner/userName=눈사람 정승환
98,쏘핫트,https://www.youtube.com/channel/UCZXWb_78BrkjpsLHv2bJhUw,내가 예뻐진 이유,https://op.gg/summoner/userName=내가 예뻐진 이유
99,쏘핫트,https://www.youtube.com/channel/UCZXWb_78BrkjpsLHv2bJhUw,삼겹살김치볶음밥,https://op.gg/summoner/userName=삼겹살김치볶음밥
100,쏘핫트,https://www.youtube.com/channel/UCZXWb_78BrkjpsLHv2bJhUw,어른이 된다는 게,https://op.gg/summoner/userName=어른이 된다는 게
101,쏘핫트,https://www.youtube.com/channel/UCZXWb_78BrkjpsLHv2bJhUw,쏘호우핫트,https://op.gg/summoner/userName=쏘호우핫트
102,트린장로,https://www.youtube.com/channel/UCN_ZT0_5Hmb3B6hLvffd-ow,재찬짱,https://op.gg/summoner/userName=재찬짱
103,트린장로,https://www.youtube.com/channel/UCN_ZT0_5Hmb3B6hLvffd-ow,햇살 비,https://op.gg/summoner/userName=햇살 비
104,용주TV,https://www.youtube.com/channel/UC1BIdZyhmHeSleUpIS3o6Ew,Illlilliliiilil,https://op.gg/summoner/userName=Illlilliliiilil
105,용주TV,https://www.youtube.com/channel/UC1BIdZyhmHeSleUpIS3o6Ew,내셔피즈장인,https://op.gg/summoner/userName=내셔피즈장인
106,호희Hohee Kayle,https://www.youtube.com/channel/UCJ3gOSW6w_lMAt_DaebPXPA,락곤희,https://op.gg/summoner/userName=락곤희
107,호희Hohee Kayle,https://www.youtube.com/channel/UCJ3gOSW6w_lMAt_DaebPXPA,호 희,https://op.gg/summoner/userName=호 희
108,이석희,https://www.youtube.com/channel/UCzXFRIEL-rOtqyZkihPKXJA,데스노트,https://op.gg/summoner/userName=데스노트
109,이석희,https://www.youtube.com/channel/UCzXFRIEL-rOtqyZkihPKXJA,승급실패한사람,https://op.gg/summoner/userName=승급실패한사람
110,Mito,https://www.youtube.com/channel/UCvWctkO3zKQ857xFqFgxPig,모두가원하는궁각,https://op.gg/summoner/userName=모두가원하는궁각
111,Mito,https://www.youtube.com/channel/UCvWctkO3zKQ857xFqFgxPig,미 토,https://op.gg/summoner/userName=미 토
112,Mito,https://www.youtube.com/channel/UCvWctkO3zKQ857xFqFgxPig,더높은곳으로비상,https://op.gg/summoner/userName=더높은곳으로비상
113,아라미누나,https://www.youtube.com/channel/UCG--USh94-JmQJaa8pKpXTg,BJ 설사,https://op.gg/summoner/userName=BJ 설사
114,아라미누나,https://www.youtube.com/channel/UCG--USh94-JmQJaa8pKpXTg,KR Araminuna,https://op.gg/summoner/userName=KR Araminuna
115,아라미누나,https://www.youtube.com/channel/UCG--USh94-JmQJaa8pKpXTg,욕설녀,https://op.gg/summoner/userName=욕설녀
116,아라미누나,https://www.youtube.com/channel/UCG--USh94-JmQJaa8pKpXTg,HAHAHAHAHAXD,https://op.gg/summoner/userName=HAHAHAHAHAXD
117,이야공,https://www.youtube.com/channel/UCXsHoowVmUvXMgYJb0KNYrw,수고했다 이야공,https://op.gg/summoner/userName=수고했다 이야공
118,이야공,https://www.youtube.com/channel/UCXsHoowVmUvXMgYJb0KNYrw,103230739del,https://op.gg/summoner/userName=103230739del
119,이야공,https://www.youtube.com/channel/UCXsHoowVmUvXMgYJb0KNYrw,Ay Nogg,https://op.gg/summoner/userName=Ay Nogg
120,정연이,https://www.youtube.com/channel/UC4tFNDf2XFboVzJMX809gvQ,정연인아가야,https://op.gg/summoner/userName=정연인아가야
121,요니Yony,https://www.youtube.com/channel/UC0Kw1DLiKQuOUKf2PZgbaYQ,욘욘죽겠지,https://op.gg/summoner/userName=욘욘죽겠지
122,요니Yony,https://www.youtube.com/channel/UC0Kw1DLiKQuOUKf2PZgbaYQ,욘욘죽겠지욘,https://op.gg/summoner/userName=욘욘죽겠지욘
123,아라드,https://www.youtube.com/channel/UCuGBvcOOIxC9XK4sXtaLFyg,아라드,https://op.gg/summoner/userName=아라드
124,어니우기,https://www.youtube.com/user/stellar028,언니우기,https://op.gg/summoner/userName=언니우기
125,어니우기,https://www.youtube.com/user/stellar028,모찌 우기,https://op.gg/summoner/userName=모찌 우기
126,세르델TV,https://www.youtube.com/channel/UCnTj7K58wKjjX7CMYY7hZ7w,KDA1점대인사람,https://op.gg/summoner/userName=KDA1점대인사람
127,세르델TV,https://www.youtube.com/channel/UCnTj7K58wKjjX7CMYY7hZ7w,겨울지나봄이오듯,https://op.gg/summoner/userName=겨울지나봄이오듯
128,갓키형,https://www.youtube.com/channel/UCU9Wa6rG3HTKAzM8dUl-TZA,do not ping top,https://op.gg/summoner/userName=do not ping top
129,갓키형,https://www.youtube.com/channel/UCU9Wa6rG3HTKAzM8dUl-TZA,기도하는 탑,https://op.gg/summoner/userName=기도하는 탑
130,갓키형,https://www.youtube.com/channel/UCU9Wa6rG3HTKAzM8dUl-TZA,변비걸린탑,https://op.gg/summoner/userName=변비걸린탑
131,김똘빈,https://www.youtube.com/channel/UCZoPR8jaHlvqfTbMh_YZ0dw,얍삽한 새끼,https://op.gg/summoner/userName=얍삽한 새끼
132,김똘빈,https://www.youtube.com/channel/UCZoPR8jaHlvqfTbMh_YZ0dw,모짜렐라슈나이져,https://op.gg/summoner/userName=모짜렐라슈나이져
133,김똘빈,https://www.youtube.com/channel/UCZoPR8jaHlvqfTbMh_YZ0dw,김똘빈,https://op.gg/summoner/userName=김똘빈
134,공사현장TV,https://www.youtube.com/user/Gongsa04,공사현장,https://op.gg/summoner/userName=공사현장
135,강블린,https://www.youtube.com/channel/UC-WJdJAq4S4EK1x3StaKKng,llililillliilll,https://op.gg/summoner/userName=llililillliilll
136,강블린,https://www.youtube.com/channel/UC-WJdJAq4S4EK1x3StaKKng,강블린,https://op.gg/summoner/userName=강블린
137,소로,https://www.youtube.com/channel/UCjj0BlV0JidDaHtlGWBsJIQ,고졸19세모솔백수,https://op.gg/summoner/userName=고졸19세모솔백수
138,소로,https://www.youtube.com/channel/UCjj0BlV0JidDaHtlGWBsJIQ,SORO3251,https://op.gg/summoner/userName=SORO3251
139,소로,https://www.youtube.com/channel/UCjj0BlV0JidDaHtlGWBsJIQ,닝동하잉,https://op.gg/summoner/userName=닝동하잉
140,베라스,https://www.youtube.com/channel/UCwGY1JXSbuj6AXazw7usnXA,youtube 베라스,https://op.gg/summoner/userName=youtube 베라스
141,베라스,https://www.youtube.com/channel/UCwGY1JXSbuj6AXazw7usnXA,세발낙지베라스,https://op.gg/summoner/userName=세발낙지베라스
142,철이럼블,https://www.youtube.com/channel/UCeUzlroXQKxlKZD80Cjt2GA,유튜브 철이럼블,https://op.gg/summoner/userName=유튜브 철이럼블
143,철이럼블,https://www.youtube.com/channel/UCeUzlroXQKxlKZD80Cjt2GA,철이럼블,https://op.gg/summoner/userName=철이럼블
144,율드댕tv,https://www.youtube.com/channel/UCFqUTFhUAQS1kJhKBR4T6Tg,DWG율드댕,https://op.gg/summoner/userName=DWG율드댕
145,율드댕tv,https://www.youtube.com/channel/UCFqUTFhUAQS1kJhKBR4T6Tg,귀멸의요네짱,https://op.gg/summoner/userName=귀멸의요네짱
146,율드댕tv,https://www.youtube.com/channel/UCFqUTFhUAQS1kJhKBR4T6Tg,dbfemeod,https://op.gg/summoner/userName=dbfemeod
147,이성진TV,https://www.youtube.com/channel/UCjVL_Y_0u4RgzwMn7lLMXug,BJ서준석사생팬,https://op.gg/summoner/userName=BJ서준석사생팬
148,이성진TV,https://www.youtube.com/channel/UCjVL_Y_0u4RgzwMn7lLMXug,머선일이농,https://op.gg/summoner/userName=머선일이농
149,군밤갓,https://www.youtube.com/channel/UCWJF5hb4jkXGRYr1nrbHC4Q,혀늬요정,https://op.gg/summoner/userName=혀늬요정
150,군밤갓,https://www.youtube.com/channel/UCWJF5hb4jkXGRYr1nrbHC4Q,군밤왕,https://op.gg/summoner/userName=군밤왕
151,군밤갓,https://www.youtube.com/channel/UCWJF5hb4jkXGRYr1nrbHC4Q,군밤군밤,https://op.gg/summoner/userName=군밤군밤
152,띵띵태TV,https://www.youtube.com/channel/UCSoVD6VZ5mnPnH6K-RYB_8A,띵띵태,https://op.gg/summoner/userName=띵띵태
153,쌀튜브 Thal YouTube,https://www.youtube.com/channel/UCoYFo-lRD3pchMUtsBcEbOA,ThallahT,https://op.gg/summoner/userName=ThallahT
